Ancienne_url,Nouvelle_url,Code HTTP,Statut,Indexabilité,Statut d'indexabilité,Title 1,Meta Description 1,H1-1,H1-2,H2-1,H2-2,Élément de lien en version canonique 1,Score de lisibilité de Flesch,Lisibilité,Ratio texte,URL de redirection,Type de page,Décision cible,Clics GSC et Impressions GSC,Priorité,Language,Version HTTP
https://trinexta.com/,https://trinexta.com/,200,OK,Indexable,,Trinexta | Support informatique et infogérance pour TPE PME,"Trinexta accompagne les PME avec un support informatique réactif, de l’infogérance et des services IT pour une activité plus fiable.",Simplifiez votre informatique au quotidien,Renforcez votre support avec souplesse,"Arrêtez de perdre du temps et de l’argent avec une informatique mal suivie. Découvrez Trinexta et avancez avec des solutions simples, fiables et adaptées à votre entreprise.",années d'expérience,https://trinexta.com/,"58,237",Assez difficile,"3,733",,Accueil,Conserver,,P1,fr-FR,1.1
https://trinexta.com/blog/,https://trinexta.com/blog/,200,OK,Indexable,,Blog - Trinexta by Trustech IT Support,"Trinexta propose infogérance, cybersécurité et support Informatique en Île-de-France pour optimiser la performance des TPE PME locales.",Archives,,Stratégie de renouvellement de parc informatique en Île-de-France : Anticipez pour la performance de votre PME,Cybersécurité pour PME : les 5 menaces les plus fréquentes en 2025,https://trinexta.com/blog/,"67,56",Normal,"4,214",,Blog,Conserver et Enrichir,,P1,fr-FR,1.1
https://trinexta.com/mentions-legales/,https://trinexta.com/mentions-legales/,200,OK,Indexable,,Mentions légales - Trinexta by Trustech IT Support,"Trinexta by TrusTech offre un support informatique flexible, rapide et humain partout en France, sans frais ni engagement complexe.",Mentions légales,Mentions légales – Trustech IT Support,Informations légales,Directeur de la publication,https://trinexta.com/mentions-legales/,"62,297",Normal,"3,509",,Légal,Conserver,,P3,fr-FR,1.1
https://trinexta.com/conditions-dutilisation/,https://trinexta.com/conditions-dutilisation/,200,OK,Indexable,,Conditions d'Utilisation - Trinexta by Trustech IT Support,"Trinexta by TrusTech offre un support informatique flexible, rapide et humain partout en France, sans frais ni engagement complexe.",Conditions d'utilisation,Conditions Générales d’Utilisation (CGU),Préambule,1 : Objet et Acceptation,https://trinexta.com/conditions-dutilisation/,"59,264",Assez difficile,"5,151",,Légal,Conserver,,P3,fr-FR,1.1
https://trinexta.com/support-informatique/,,200,OK,Non indexable,Canonisé,Support informatique PME | Assistance postes et logiciels,"Support informatique PME avec assistance illimitée, aide sur vos logiciels métier et contact unique pour vos utilisateurs.",Support informatique,,"Support informatique TRINEXTA – Une assistance réactive pour vos postes, vos logiciels métier et vos éditeurs",Ce qui nous différencie : nous vous aidons aussi sur vos logiciels métier,https://trinexta.com/infogerance/,"66,327",Normal,"4,819",,Service,Conserver et Enrichir,,P1,fr-FR,1.1
https://trinexta.com/infogerance/,https://trinexta.com/infogerance/,200,OK,Indexable,,Infogérance PME | Maintenance et surveillance informatique,"Infogérance PME avec surveillance 24/7, maintenance proactive, mises à jour automatisées et gestion de parc informatique.",Infogérance,,"Infogérance TRINEXTA – Votre informatique suivie, surveillée et maintenue sans complication",Infogérance informatique pour TPE et PME : une plateforme de surveillance puissante et discrète,https://trinexta.com/infogerance/,"67,227",Normal,"4,955",,Service,Conserver et Enrichir,,P1,fr-FR,1.1
https://trinexta.com/zone-dintervention-certifications/,.,200,OK,Indexable,,Certifications - Trinexta by Trustech IT Support,"Découvrez nos certifications CompTIA, Microsoft, ITIL, ISO 27001 pour un service IT sécurisé, structuré et professionnel.",Certifications & partenaires,,Vous aider à surmonter vos défis technologiques,,https://trinexta.com/zone-dintervention-certifications/,"57,319",Assez difficile,"2,611",,Institutionnel,fusionner dans à-propos,,P3,fr-FR,1.1
https://trinexta.com/contact/,https://trinexta.com/contact/,200,OK,Indexable,,Contact - Trinexta by Trustech IT Support,"Contactez Trinexta pour un support informatique rapide, migration, sécurité, dépannage et conseils sur vos outils numériques.",Contact,,Questions fréquemment posées,Vous aider à surmonter vos défis technologiques,https://trinexta.com/contact/,"66,817",Normal,"3,295",,Institutionnel,,,P1,fr-FR,1.1
https://trinexta.com/cybersecurite/,https://trinexta.com/cybersecurite/,200,OK,Indexable,,Cybersécurité PME | Protection EDR et anti-ransomware,"Cybersécurité PME avec protection EDR, anti-ransomware, anti-phishing et surveillance continue pour sécuriser vos postes.",,,Cybersécurité,Cybersécurité TRINEXTA – Protégez votre entreprise sans complexifier votre quotidien,https://trinexta.com/cybersecurite/,"57,652",Assez difficile,"5,116",,Service,Conserver et Enrichir,,P1,fr-FR,1.1
https://trinexta.com/politique-de-confidentialite/,https://trinexta.com/politique-de-confidentialite/,200,OK,Indexable,,Politique de confidentialité - Trinexta by Trustech IT Support,"Trinexta by TrusTech offre un support informatique flexible, rapide et humain partout en France, sans frais ni engagement complexe.",Politique de confidentialité,Politique de Confidentialité – TRUSTECH IT SUPPORT,1. Les informations que nous collectons,2. Comment nous utilisons vos données,https://trinexta.com/politique-de-confidentialite/,"68,274",Normal,"6,175",,Légal,Conserver,,P3,fr-FR,1.1
https://trinexta.com/a-propos/,https://trinexta.com/a-propos/,200,OK,Indexable,,À propos | Prestataire informatique PME | Trinexta,"Découvrez Trinexta, prestataire informatique PME : support réactif, expertise terrain, couverture nationale et accompagnement humain.",À propos,,"À propos de Trinexta by TrusTech IT Support : une informatique plus simple, plus humaine et plus utile à votre entreprise","Trinexta : la synergie de l'expertise, de l'humain et de l'avenir",https://trinexta.com/a-propos/,"58,554",Assez difficile,"5,462",,Institutionnel,Conserver,,P3,fr-FR,1.1
https://trinexta.com/services-annexes/,https://trinexta.com/services-annexes/,200,OK,Indexable,,"Services informatiques PME | Microsoft 365, réseau, sauvegarde","Services informatiques PME sur devis : Microsoft 365, matériel, réseau, sauvegarde, sécurité et accompagnement sur mesure.",Services annexes,,"Nos services sur devis – Un accompagnement IT sur mesure, au-delà du support",Notre approche : conseiller avant de vendre,https://trinexta.com/services-annexes/,"63,813",Normal,"7,394",,Service,Conserver et Enrichir,,P1,fr-FR,1.1
https://trinexta.com/offre-serenite/,https://trinexta.com/offre-serenite/,200,OK,Indexable,,Offre Sérénité | Support informatique PME dès 79€/poste,"Support informatique PME avec assistance illimitée, maintenance proactive et cybersécurité incluse dès 79€ HT/poste/mois.",Offre Sérénité,,Votre informatique doit soutenir votre activité. Pas la freiner.,Questions fréquentes,https://trinexta.com/offre-serenite/,"65,046",Normal,"5,78",,Offre,Conserver,,P1,fr-FR,1.1
https://trinexta.com/offre-impulsion/,https://trinexta.com/offre-impulsion/,200,OK,Indexable,,Offre Impulsion | Technicien support informatique pour PME,"Trouvez un technicien support informatique pour PME : renfort sur mesure, profils qualifiés sous 72h et mission adaptée à vos besoins.",Offre Impulsion,,"Comment ça se passe, du premier appel au premier jour ?",Des experts du support à votre service,https://trinexta.com/offre-impulsion/,"66,449",Normal,"5,41",,Offre,Conserver,,P1,fr-FR,1.1
https://trinexta.com/cybersecurite-7-habitudes-strategiques-pour-proteger-votre-pme/,https://trinexta.com/blog/cybersecurite-7-habitudes-strategiques-pour-proteger-votre-pme/,200,OK,Indexable,,Cybersécurité : 7 habitudes stratégiques pour protéger votre PME - Trinexta by Trustech IT Support,"Découvrez 7 habitudes clés en cybersécurité pour protéger votre PME, sécuriser vos données et garantir la continuité de votre activité. Contactez Trinexta pour un audit gratuit.",Cybersécurité : 7 habitudes stratégiques pour protéger votre PME,,Vous aider à surmonter vos défis technologiques,,https://trinexta.com/cybersecurite-7-habitudes-strategiques-pour-proteger-votre-pme/,"73,269",Assez facile,"6,536",,Article de blog,Conserver,,P2,fr-FR,1.1
https://trinexta.com/pourquoi-un-helpdesk-local-change-tout-pour-vos-equipes/,https://trinexta.com/blog/pourquoi-un-helpdesk-local-change-tout-pour-vos-equipes/,200,OK,Indexable,,Pourquoi un helpdesk local change tout pour vos équipes - Trinexta by Trustech IT Support,"Découvrez comment un helpdesk local optimise la productivité, sécurise vos données et motive vos équipes au quotidien.",Pourquoi un helpdesk local change tout pour vos équipes,,Le casse-tête informatique des PME,Du centre de coûts au levier stratégique,https://trinexta.com/pourquoi-un-helpdesk-local-change-tout-pour-vos-equipes/,"67,77",Normal,"11,68",,Article de blog,Conserver,,P2,fr-FR,1.1
